pipeline,error_type,record_id_1,record_id_2,score,pred_match,gold_match,record_1,record_2
llm_assisted,false_positive,r1661,r702,0.4750668449197861,1,0,"{""record_id"": ""r1661"", ""spec_id"": ""source_gamma//37590384"", ""entity_id"": ""833964"", ""source"": ""source_gamma"", ""title"": ""genuine epson c13t636800 matte black high capacity ink cartridge (t6368mbkhoem)"", ""brand"": ""epson"", ""description"": """", ""price"": ""275.99"", ""priceCurrency"": ""gbp""}","{""record_id"": ""r702"", ""spec_id"": ""source_alpha//21595538"", ""entity_id"": ""2484292"", ""source"": ""source_alpha"", ""title"": ""cartouche epson wf-5xxx series xxl black"", ""brand"": ""epson"", ""description"": ""cartouche epson wf-5xxx series xxl black- ink cartridge xxl black"", ""price"": ""57.99"", ""priceCurrency"": ""eur""}"
llm_assisted,false_positive,r1652,r639,0.5222540983606557,1,0,"{""record_id"": ""r1652"", ""spec_id"": ""source_gamma//59521817"", ""entity_id"": ""825476"", ""source"": ""source_gamma"", ""title"": ""epson ultrachrome t636a ink cartridge - orange"", ""brand"": ""epson"", ""description"": ""inkjet"", ""price"": ""281.18"", ""priceCurrency"": ""gbp""}","{""record_id"": ""r639"", ""spec_id"": ""source_alpha//24415437"", ""entity_id"": ""217603"", ""source"": ""source_alpha"", ""title"": ""epson 29 cyan inkjet cartridge (strawberry)c13t29824010 / t2982 ep60033"", ""brand"": ""epson"", ""description"": """", ""price"": ""7.50"", ""priceCurrency"": ""gbp""}"
llm_assisted,false_positive,r1051,r429,0.42387681159420293,1,0,"{""record_id"": ""r1051"", ""spec_id"": ""source_beta//12201109"", ""entity_id"": ""426443"", ""source"": ""source_beta"", ""title"": ""epson tinte t5805 light cyan, 80 ml"", ""brand"": ""epson"", ""description"": """", ""price"": ""50.70"", ""priceCurrency"": ""eur""}","{""record_id"": ""r429"", ""spec_id"": ""source_alpha//35527544"", ""entity_id"": ""161548"", ""source"": ""source_alpha"", ""title"": ""compatible epson t1285 bk/c/m/y multipack of ink cartridges (t1285bkcmymulticom)"", ""brand"": ""epson"", ""description"": """", ""price"": ""9.99"", ""priceCurrency"": ""gbp""}"
llm_assisted,false_positive,r430,r462,0.4593181818181818,1,0,"{""record_id"": ""r430"", ""spec_id"": ""source_beta//46054102"", ""entity_id"": ""161548"", ""source"": ""source_beta"", ""title"": ""epson t1285 multipack ink cartridge (black, cyan, magenta, yellow)"", ""brand"": ""epson"", ""description"": ""to fit: bx305f, bx305fw, s22, sx125, sx420w, sx425w"", ""price"": ""47.08"", ""priceCurrency"": ""gbp""}","{""record_id"": ""r462"", ""spec_id"": ""source_alpha//15278869"", ""entity_id"": ""174254"", ""source"": ""source_alpha"", ""title"": ""epson tinte t7012 cyan xxl, 34 ml"", ""brand"": ""epson"", ""description"": """", ""price"": ""51.40"", ""priceCurrency"": ""eur""}"
llm_assisted,false_positive,r1379,r390,0.5001929674099486,1,0,"{""record_id"": ""r1379"", ""spec_id"": ""source_gamma//62936992"", ""entity_id"": ""609482"", ""source"": ""source_gamma"", ""title"": ""apple md565ll/a 60w magsafe 2 power adapter"", ""brand"": ""apple"", ""description"": ""md565ll/a 60w magsafe 2 power adapter"", ""price"": ""79.00"", ""priceCurrency"": ""usd""}","{""record_id"": ""r390"", ""spec_id"": ""source_alpha//17648394"", ""entity_id"": ""1563974"", ""source"": ""source_alpha"", ""title"": ""apple apple airpods pro with wireless charging case (mwp22ch/a) a2190"", ""brand"": ""apple"", ""description"": """", ""price"": ""199.99"", ""priceCurrency"": ""usd""}"
llm_assisted,false_positive,r1262,r775,0.40408163265306124,1,0,"{""record_id"": ""r1262"", ""spec_id"": ""source_gamma//27224010"", ""entity_id"": ""541658"", ""source"": ""source_gamma"", ""title"": ""wd elements usb 3.0 portable hard drive black 2tb"", ""brand"": ""western digital"", ""description"": ""the 2tb wd elements usb 3.0 portable hard drive in black features reliable, fast data transfer rates and western digital also include a 2 year warranty"", ""price"": ""71.19"", ""priceCurrency"": ""gbp""}","{""record_id"": ""r775"", ""spec_id"": ""source_beta//18147177"", ""entity_id"": ""267024"", ""source"": ""source_beta"", ""title"": ""lacie 4tb 2.5 mobile portable usb 3.0 moon silver"", ""brand"": """", ""description"": """", ""price"": """", ""priceCurrency"": """"}"
llm_assisted,false_negative,r542,r543,0.3601382488479263,0,1,"{""record_id"": ""r542"", ""spec_id"": ""source_gamma//20971734"", ""entity_id"": ""192122"", ""source"": ""source_gamma"", ""title"": ""ubiquiti unifi video camera g3 bullet (uvc-g3-bullet)"", ""brand"": """", ""description"": ""theubiquiti uvc-g3-bulletfeatures clear 1080p video resolution. the ball‑joint mount offers flexible 3-axis adjustment and can be mounted indoors or outdoors. the camera has infrared leds with an automatic ir cut filter for day and night surveillance.1080p full hd, 30 fpsefl 3.6 mm, ƒ/1.8outdoor weather resistant802.3af poe or 24v passive poebuilt-in microphonewall, ceiling, or pole mounthigh-power ir range extender accessory (sold separately)powerful software managementuse the unifi video mobile app for easy camera management and live streaming from an ios or android-based smartphone or tablet. the unifi video mobile app is now available in the app store for ios and google play store for android.hd image qualityfeaturing an efl 3.6 mm f/1.8 lens for superior vision, the ubiquiti unifi video camera g3 (uvc-g3-af) provides 1080p hd resolution at 30 fps - that's an impressive 360p more that its g2 predecessor!infrared range extenderthe optional ir range extender accessory, model uvc-g3-led, significantly extends the night vision range to up to 25 m (82 ft)."", ""price"": ""109.35"", ""priceCurrency"": ""gbp""}","{""record_id"": ""r543"", ""spec_id"": ""source_alpha//35724064"", ""entity_id"": ""192122"", ""source"": ""source_alpha"", ""title"": ""ubiquiti uvc-g3-flex unifi ip dome camera"", ""brand"": """", ""description"": """", ""price"": ""$‎147.95"", ""priceCurrency"": ""usd""}"
llm_assisted,false_positive,r192,r985,0.46959336543606206,1,0,"{""record_id"": ""r192"", ""spec_id"": ""source_alpha//11257759"", ""entity_id"": ""1290026"", ""source"": ""source_alpha"", ""title"": ""cisco - catalyst 3850 48 port poe ip base en"", ""brand"": """", ""description"": ""cisco catalyst 3850 48 port poe ip base en (ws-c3850-48p-s) - produkt: administrerad - portar: 48 - hastighet: 1gbps"", ""price"": ""134579.00"", ""priceCurrency"": ""sek""}","{""record_id"": ""r985"", ""spec_id"": ""source_beta//28227060"", ""entity_id"": ""357489"", ""source"": ""source_beta"", ""title"": ""cisco catalyst 3650 48 port full poe 2x10g uplink lan base"", ""brand"": """", ""description"": ""cisco catalyst 3650 48 port full poe 2x10g uplink lan base"", ""price"": ""0.001"", ""priceCurrency"": """"}"
llm_assisted,false_positive,r1415,r1479,0.42833333333333334,1,0,"{""record_id"": ""r1415"", ""spec_id"": ""source_gamma//34472445"", ""entity_id"": ""672125"", ""source"": ""source_gamma"", ""title"": ""crucial mx500 250 gb solid state drive ct250mx500ssd1 - sata (sata/600) - 2.5\\\"" drive - internal"", ""brand"": """", ""description"": """", ""price"": ""67.99"", ""priceCurrency"": ""usd""}","{""record_id"": ""r1479"", ""spec_id"": ""source_alpha//54362555"", ""entity_id"": ""70841"", ""source"": ""source_alpha"", ""title"": ""crucial mx500 ssd 2.5\\\"" - 2tb"", ""brand"": """", ""description"": ""solid state drive, kryptert, 2 tb, intern, 2.5\\\"", sata 6gb/s, 256-bit aes, tcg opal encryption 2.0"", ""price"": ""2803.00"", ""priceCurrency"": ""nok""}"
llm_assisted,false_positive,r105,r110,0.40682847082494966,1,0,"{""record_id"": ""r105"", ""spec_id"": ""source_alpha//50011753"", ""entity_id"": ""1155981"", ""source"": ""source_alpha"", ""title"": ""tp-link archer t9uh ac1900 high gain wireless dual band usb adapter"", ""brand"": """", ""description"": ""usb"", ""price"": ""19890"", ""priceCurrency"": ""huf""}","{""record_id"": ""r110"", ""spec_id"": ""source_gamma//2210930"", ""entity_id"": ""1164344"", ""source"": ""source_gamma"", ""title"": ""tp-link n300 wireless usb adapter tl-wn821n"", ""brand"": ""tp-link"", ""description"": ""upto 300 mbpsusb 2.0ieee 802.11 b/g/n3 year limited warranty"", ""price"": ""₹999.00"", ""priceCurrency"": ""inr""}"
