record_id_1,record_id_2,title_sim,brand_sim,model_sim,attr_sim,score,pred_match
r1379,r591,0.4,0.0,0.0,0.4,0.24000000000000002,0
r476,r556,0.5043478260869565,0.0,0.0,0.5043478260869565,0.3026086956521739,0
r1728,r1729,0.7761194029850746,0.0,0.0,0.8880597014925373,0.4824626865671642,1
r1066,r723,0.4523809523809524,1.0,0.0,0.8174603174603176,0.5261904761904762,1
r308,r811,0.3129251700680273,0.0,0.0,0.3129251700680273,0.18775510204081636,0
r205,r80,0.3795620437956205,0.0,0.0,0.3795620437956205,0.22773722627737228,0
r1058,r405,0.3076923076923077,0.0,0.0,0.3076923076923077,0.18461538461538463,0
r1661,r702,0.43137254901960786,1.0,0.0,0.7156862745098039,0.5014705882352941,1
r1064,r585,0.46875,0.0,0.0,0.46875,0.28125,0
r1652,r639,0.4918032786885246,1.0,0.0,0.7459016393442623,0.5331967213114754,1
r1688,r949,0.46,0.0,0.0,0.46,0.276,0
r1051,r429,0.3652173913043478,1.0,0.0,0.455072463768116,0.43260869565217397,1
r1008,r61,0.411764705882353,0.0,0.0,0.2058823529411765,0.2161764705882353,0
r400,r663,0.36363636363636365,0.0,0.0,0.36363636363636365,0.21818181818181817,0
r376,r821,0.4761904761904762,0.0,0.0,0.4761904761904762,0.2857142857142857,0
r430,r462,0.4242424242424242,1.0,0.0,0.47474747474747475,0.4621212121212121,1
r1112,r666,0.6274509803921569,0.0,0.0,0.6274509803921569,0.3764705882352941,0
r223,r441,0.7045454545454546,0.0,0.0,0.5189393939393939,0.39488636363636365,0
r1485,r1796,0.5046728971962616,0.0,0.0,0.5046728971962616,0.302803738317757,0
r19,r614,0.5217391304347826,0.0,0.0,0.5217391304347826,0.31304347826086953,0
r1379,r390,0.4339622641509434,1.0,0.0,0.7169811320754718,0.5028301886792453,1
r1150,r1271,0.4,0.0,0.0,0.4,0.24000000000000002,0
r1611,r77,0.3296703296703296,0.0,0.0,0.3296703296703296,0.19780219780219777,0
r1695,r191,0.5185185185185186,0.0,0.0,0.5185185185185186,0.31111111111111117,0
r774,r776,0.8037383177570093,0.0,0.0,0.8037383177570093,0.4822429906542056,1
r1679,r673,0.6095238095238095,0.0,0.0,0.6095238095238095,0.36571428571428566,0
r1639,r617,0.38,0.0,0.0,0.38,0.228,0
r1262,r775,0.6734693877551021,0.0,0.0,0.6734693877551021,0.40408163265306124,1
r270,r907,0.3673469387755102,0.0,0.0,0.1836734693877551,0.19285714285714287,0
r1335,r1792,0.5333333333333333,0.0,0.0,0.5999999999999999,0.32999999999999996,0
r1324,r354,0.22448979591836732,0.0,0.0,0.22448979591836732,0.13469387755102039,0
r123,r205,0.4172661870503597,0.0,0.0,0.20863309352517986,0.21906474820143884,0
r123,r1552,0.4186046511627907,0.0,0.0,0.4186046511627907,0.25116279069767444,0
r595,r599,0.8125,0.0,0.0,0.8125,0.48750000000000004,1
r542,r543,0.6774193548387097,0.0,0.0,0.6774193548387097,0.40645161290322585,1
r192,r985,0.8266666666666667,0.0,0.0,0.8266666666666667,0.496,1
r1209,r1321,0.3783783783783784,0.0,0.0,0.1891891891891892,0.19864864864864867,0
r1009,r1011,0.7575757575757575,0.0,0.0,0.7575757575757575,0.4545454545454545,1
r1081,r1541,0.5333333333333333,0.0,0.0,0.5333333333333333,0.32,0
r1240,r1287,0.3428571428571429,0.0,0.0,0.3380952380952381,0.20500000000000002,0
r1789,r435,0.6306306306306306,0.0,0.0,0.3153153153153153,0.3310810810810811,0
r1415,r1479,0.84,0.0,0.0,0.84,0.504,1
r1272,r5,0.5934065934065934,0.0,0.0,0.5934065934065934,0.35604395604395606,0
r1611,r7,0.36220472440944884,0.0,0.0,0.5144356955380577,0.24015748031496062,0
r1132,r999,0.5148514851485149,0.0,0.0,0.42409240924092406,0.2952970297029703,0
r104,r1296,0.27826086956521734,0.0,0.0,0.27826086956521734,0.1669565217391304,0
r1208,r253,0.4489795918367347,0.0,0.0,0.4489795918367347,0.2693877551020408,0
r1614,r623,0.5765765765765766,0.0,0.0,0.5765765765765766,0.34594594594594597,0
r105,r110,0.7887323943661971,0.0,0.0,0.7887323943661971,0.47323943661971823,1
r1239,r607,0.31746031746031744,0.0,0.0,0.6587301587301587,0.24166666666666664,0
r1093,r1253,0.4666666666666666,0.0,0.0,0.4666666666666666,0.27999999999999997,0
r1182,r1640,0.3768115942028985,0.0,0.0,0.3768115942028985,0.2260869565217391,0
r1281,r1457,0.3921568627450981,0.0,0.0,0.3921568627450981,0.23529411764705888,0
r200,r919,0.6382978723404256,0.0,0.0,0.6382978723404256,0.3829787234042553,0
r658,r789,0.4615384615384615,0.0,0.0,0.4615384615384615,0.2769230769230769,0
r251,r796,0.42857142857142855,0.0,0.0,0.42857142857142855,0.2571428571428571,0
r1178,r540,0.38888888888888884,0.0,0.0,0.38888888888888884,0.2333333333333333,0
r749,r784,0.41600000000000004,0.0,0.0,0.41600000000000004,0.24960000000000004,0
r363,r661,0.4,0.0,0.0,0.4,0.24000000000000002,0
r1179,r140,0.4210526315789474,0.0,0.0,0.4210526315789474,0.25263157894736843,0
r397,r431,0.34710743801652894,0.0,0.0,0.34710743801652894,0.20826446280991737,0
r1159,r62,0.29370629370629375,0.0,0.0,0.29370629370629375,0.17622377622377627,0
r1301,r1779,0.3058823529411765,0.0,0.0,0.3058823529411765,0.18352941176470589,0
